nascoːn	naʃən
mih	mɪx
iuwih	ɔyx
iːlen	ailən
gisunt	ɡəzʊnt
saːliːg	zeːlɪx
kuman	kɔmən
quecsilabar	kvɛkzɪlbər
au	au
iːsan	aizən
roufen	raufən
stil	ʃtiːl
nunna	nɔnə
tobeːn	toːbən
mago	maːɡən
fersna	fɛrzə
gruːeːn	ɡrauən
swermen	ʃvɛrmən
predion	preːdɪɡən
morganegiba	mɔrɡənɡaːbə
herd	heːrt
mist	mɪst
gisamanoːt	ɡəzamt
wollust	vɔlʊst
wolla	vɔlə
tuːba	taubə
gliːzan	ɡlaisən
herza	hɛrt͡s
zwiːg	t͡svaik
urano	uːraːn
bliuwan	blɔyən
wecken	vɛkən
wola	voːl
dah	dax
trouf	traufə
leim	leːm
lebara	leːbər
eiscoːn	haiʃən
slango	ʃlaŋə
lid	liːt
er	eːr
rad	raːt
hadara	haːdər
gerno	ɡɛrn
bitrahtoːn	bətraxtən
maːen	mɛːən
bineman	bəneːmən
braːhha	braːxə
alb	alp
truːreːn	trauərn
rustih	rʏstɪx
priester	priːstər
leist	laist
hewiscrecko	hɔyʃrɛkə
brennen	brɛnən
nuohturn	nʏxtərn
farhiliː	fɛrkəl
slaf	ʃlaf
stum	ʃtʊm
situ	zɪtə
wad	vaːdə
eimbar	aimər
burgo	bʏrɡə
ambahti	amt
kunig	køːnɪx
biwegan	bəveːɡən
prediga	preːdɪxt
trincan	trɪŋkən
hunt	hʊnt
intrinnan	ɛntrɪnən
skiːba	ʃaibə
in	matə
ros	rɔs
eines	ainst
hurt	hʏrdə
gilubida	ɡəlʏpdə
gihradi	ɡəraːdə
roːrah	røːrɪxt
muoza	muːsə
wascan	vaʃən
wiːhrouh	vairaux
einfalt	ainfɛltɪx
bellan	bɛlən
spinnan	ʃpɪnən
zaloːn	t͡saːlən
erstuzzen	ʃtʊt͡sən
ringan	rɪŋən
swiːn	ʃvain
wintbraː	vɪmpər
meldeːn	mɛldən
scaːf	ʃaːf
innan	ɪnən
githehtnissi	ɡədɛxtnɪs
hiːraːt	hairaːt
mel	meːl
gabala	ɡaːbəl
fiur	fɔyər
firiwizzi	foːrvɪt͡s
hella	hœlə
ziːt	t͡sait
uber	yːbər
spriozan	ʃpriːsən
zal	t͡saːl
sleht	ʃlɛxt
gidiːhan	ɡədaiən
zisamane	t͡suːzamən
muːwerf	maulvʊrf
scarbo	ʃarbə
zil	t͡siːl
sliːfan	ʃlaifən
dwerah	t͡svɛrx
petrasile	peːtərziːliːə
suːl	zɔylə
pfiːlaːri	pfailər
sinfluot	zɪntfluːt
riuwa	rɔyə
giruːmo	ɡəraum
zaːh	t͡sɛː
hurst	hɔrst
friːliːh	frailɪx
smiereːn	ʃmiːrən
stam	ʃtam
koroːna	kroːnə
pflegan	pfleːɡən
rind	rɪnt
zins	t͡sɪns
swelgan	ʃvɛlɡən
stophoːn	ʃtɔpfən
heidberi	haidəlbeːrə
stoːla	ʃtoːlaː
urkundi	uːrkʊndə
kevur	kɛːfər
ehir	ɛːrə
loː	loːə
nerien	nɛːrən
kropf	krɔpf
maska	maʃə
felsken	fɛlʃən
einag	ainɪx
knollo	knɔlə
Moːr	moːr
reːren	røːrən
tunihha	tʏnxən
flehtan	flɛxtən
miluh	mɪlx
scanta	ʃandə
kanna	kanə
kisil	kiːzəl
agaleia	akəlai
stucki	ʃtʏk
irstaːn	ɛrʃteːən
girusta	ɡərʏst
ring	rɪŋ
buːtil	bɔytəl
harm	harm
salba	zalbə
krazzoːn	krat͡sən
engi	ɛŋ
einiːg	ainɪɡə
ruota	ruːtə
angust	aŋst
fiːhala	failə
grifil	ɡrɪfəl
scaltjaːr	ʃaltjaːr
eban	eːbən
kegil	keːɡəl
beide	baidə
anagriːfan	anɡraifən
hia	hiːr
fogat	voːkt
nemnen	nɛnən
scuːra	ʃauər
tufstein	tʊf
zapfo	t͡sapfən
muos	muːs
wahsan	vaksən
augusto	auɡʊst
urteil	ʊrtail
kista	kɪstə
kundo	kʊndə
gifatero	ɡəfatər
daːha	toːn
geneste	ɡɪnstər
faːhan	faŋən
scrunta	ʃrʊndə
kloz	klɔt͡s
ribbi	rɪpə
lineːn	leːnən
brunno	brʊnən
forst	fɔrst
spiːsa	ʃpaizə
morsaːri	mœrzər
buːla	bɔylə
fluor	fluːr
havan	haːfən
kletto	klɛtə
mund	mʊnt
pfiːfa	pfaifə
bruːhhan	brauxən
wiːaːri	vaiər
reizen	rait͡sən
bringan	brɪŋən
pfuol	pfuːl
lezzist	lɛt͡st
fal	fal
trota	trɔtə
kramaːri	krɛːmər
leːren	leːrən
sin	zɪn
halda	haldə
steinmez	ʃtainmɛt͡s
diuten	dɔytən
kranc	kraŋk
lerneːn	lɛrnən
kalt	kalt
slito	ʃlɪtən
mangoloːn	maŋəln
biskrenken	bəʃrɛŋkt
bikennen	bəkɛnən
gistatoːn	ɡəʃtatən
lebeːn	leːbən
skiverro	ʃiːfər
kaːsi	kɛːzə
hina	hɪn
stuːhha	ʃtauxə
graban	ɡraːbən
dringan	drɪŋən
muodi	myːdə
loubfrosc	laupfrɔʃ
wisa	viːzə
bracko	brakə
wint	vɪnt
der	deːr
willo	vɪlə
heil	hail
heitar	haitər
kruːt	kraut
sippa	zɪpə
durst	dʊrst
liːb	laip
bruoder	bruːdər
skilihen	ʃiːlən
frewen	frɔyən
emezziːg	ɛmzɪx
soum	zaum
fidula	fiːdəl
ungistuomi	ʊnɡəʃtyːm
ubarwintan	yːbərvɪndən
betti	bɛt
thruken	drʏkən
gestereːn	ɡɛstərn
spiz	ʃpiːs
sumar	zɔmər
nestila	nɛstəl
zan	t͡saːn
sezzen	zɛt͡sən
meist	maist
wegariːh	veːɡərɪx
meior	maiər
ackus	akst
siːn	zain
murmuloːn	mʊrməln
ratih	rɛtɪx
nuz	nʊs
spaltan	ʃpaltən
heilant	hailant
kund	kʊnt
samant	zamt
iːs	ais
ordenlihho	ɔrdəntlɪx
helm	hɛlm
bret	brɛt
seːla	zeːlə
braːtan	braːtən
smaːhi	ʃmaːx
keːren	keːrən
garawen	ɡɛrbən
suːriː	zɔyrə
biscoftuom	bɪstuːm
kuoni	kyːn
arkennen	ɛrkɛnən
teil	tail
rusten	rʏstən
stampfoːn	ʃtampfən
tohter	tɔxtər
missa	mɛsə
tior	tiːr
siːda	zaidə
untartaːn	ʊntərtaːn
zuofirsiht	t͡suːfɛrzɪxt
farn	farn
oba	ɔp
helan	heːlən
stein	ʃtain
ir	iːr
snepfa	ʃnɛpfə
kruːzigoːn	krɔyt͡sɪɡən
scaft	ʃaft
zeihhan	t͡saixən
fellen	fɛlən
scriːban	ʃraibən
gibirgi	ɡəbɪrɡə
buog	buːk
staffal	ʃtafəl
turri	tʊrm
ottar	ɔtər
tenni	tɛnə
lerihha	lɛːrxə
backan	bakən
