word:Himmel@lang:deu@std	hɪməl
word:Hinde@lang:deu@std	hɪndə
word:Hippe@lang:deu@std	hɪpə
word:Hirn@lang:deu@std	hɪrn
word:Hirsch@lang:deu@std	hɪrʃ
word:Hirse@lang:deu@std	hɪrzə
word:Hirt@lang:deu@std	hɪrt
word:Hitze@lang:deu@std	hɪt͡sə
word:Hochmut@lang:deu@std	hoːxmuːt
word:Hode@lang:deu@std	hoːdə
word:Hof@lang:deu@std	hoːf
word:Hohn@lang:deu@std	hoːn
word:Holunder@lang:deu@std	hoːlʊndər
word:Holz@lang:deu@std	hɔlt͡s
word:Honig@lang:deu@std	hoːnɪx
word:Hopfen@lang:deu@std	hɔpfən
word:Horn@lang:deu@std	hɔrn
word:Hornisse@lang:deu@std	hɔrnɪsə
word:Horst@lang:deu@std	hɔrst
word:Hort@lang:deu@std	hɔrt
word:Hose@lang:deu@std	hoːzə
word:Hospital@lang:deu@std	hɔspiːtaːl
word:Huf@lang:deu@std	huːf
word:Huhn@lang:deu@std	huːn
word:Huld@lang:deu@std	hʊlt
word:Hund@lang:deu@std	hʊnt
word:Hunger@lang:deu@std	hʊŋər
word:Hure@lang:deu@std	huːrə
word:Husten@lang:deu@std	hʊstən
word:Hut@lang:deu@std	huːt
word:Hut@lang:deu@std/2	huːt
word:Häher@lang:deu@std	hɛːər
word:Höhle@lang:deu@std	høːlə
word:Hölle@lang:deu@std	hœlə
word:Hüfte@lang:deu@std	hʏftə
word:Hülle@lang:deu@std	hʏlə
word:Hülse@lang:deu@std	hʏlzə
word:Hürde@lang:deu@std	hʏrdə
word:Hütte@lang:deu@std	hʏtə
word:Igel@lang:deu@std	iːɡəl
word:Imbiß@lang:deu@std	ɪmbɪs
word:Ingwer@lang:deu@std	ɪŋɡvər
word:Insel@lang:deu@std	ɪnzəl
word:Jahr@lang:deu@std	jaːr
word:Jammer@lang:deu@std	jamər
word:Joch@lang:deu@std	jɔx
word:Jugend@lang:deu@std	juːɡənt
word:Jungfrau@lang:deu@std	jʊŋfrau
word:Jünger@lang:deu@std	jʏŋər
word:Jüngling@lang:deu@std	jʏŋlɪŋ
word:Kachel@lang:deu@std	kaxəl
word:Kaiser@lang:deu@std	kaizər
word:Kalb@lang:deu@std	kalp
word:Kalk@lang:deu@std	kalk
word:Kamm@lang:deu@std	kam
word:Kammer@lang:deu@std	kamər
word:Kampf@lang:deu@std	kampf
word:Kanne@lang:deu@std	kanə
word:Kanzel@lang:deu@std	kant͡səl
word:Kanzler@lang:deu@std	kant͡slər
word:Kappe@lang:deu@std	kapə
word:Karpfen@lang:deu@std	karpfən
word:Karren@lang:deu@std	karən
word:Karst@lang:deu@std	kaːrst
word:Kastanie@lang:deu@std	kastaːniːə
word:Kasten@lang:deu@std	kastən
word:Kater@lang:deu@std	kaːtər
word:Katze@lang:deu@std	kat͡sə
word:Kegel@lang:deu@std	keːɡəl
word:Kehle@lang:deu@std	keːlə
word:Keil@lang:deu@std	kail
word:Keim@lang:deu@std	kaim
word:Kelch@lang:deu@std	kɛlx
word:Kelle@lang:deu@std	kɛlə
word:Keller@lang:deu@std	kɛlər
word:Kellner@lang:deu@std	kɛlnər
word:Kelter@lang:deu@std	kɛltər
word:Kerbel@lang:deu@std	kɛrbəl
word:Kerker@lang:deu@std	kɛrkər
word:Kern@lang:deu@std	kɛrn
word:Kerze@lang:deu@std	kɛrt͡sə
word:Kessel@lang:deu@std	kɛsəl
word:Kette@lang:deu@std	kɛtə
word:Kette@lang:deu@std/2	kɛtə
word:Kiefer@lang:deu@std/2	kiːfər
word:Kiel@lang:deu@std/2	kiːl
word:Kiesel@lang:deu@std	kiːzəl
word:Kind@lang:deu@std	kɪnt
word:Kinn@lang:deu@std	kɪn
word:Kirche@lang:deu@std	kɪrxə
word:Kirsche@lang:deu@std	kɪrʃə
word:Kissen@lang:deu@std	kɪsən
word:Kiste@lang:deu@std	kɪstə
word:Kitt@lang:deu@std	kɪt
word:Kitz@lang:deu@std	kɪt͡s
word:Klafter@lang:deu@std	klaftər
word:Klage@lang:deu@std	klaːɡə
word:Klang@lang:deu@std	klaŋ
word:Klee@lang:deu@std	kleː
word:Klette@lang:deu@std	klɛtə
word:Klinge@lang:deu@std/2	klɪŋə
word:Kloster@lang:deu@std	kloːstər
word:Klotz@lang:deu@std	klɔt͡s
word:Kloß@lang:deu@std	kloːs
word:Kluft@lang:deu@std	klʊft
word:Kluppe@lang:deu@std	klʊpə
word:Knebel@lang:deu@std	kneːbəl
word:Knecht@lang:deu@std	knɛxt
word:Knie@lang:deu@std	kniː
word:Knoblauch@lang:deu@std	knoːplaux
word:Knolle@lang:deu@std	knɔlə
word:Knopf@lang:deu@std	knɔpf
word:Knoten@lang:deu@std	knoːtən
word:Koch@lang:deu@std	kɔx
word:Kohl@lang:deu@std	koːl
word:Kohle@lang:deu@std	koːlə
word:Kolben@lang:deu@std	kɔlbən
word:Koller@lang:deu@std	kɔlər
word:Koller@lang:deu@std/2	kɔlər
word:Kopf@lang:deu@std	kɔpf
word:Korb@lang:deu@std	kɔrp
word:Korn@lang:deu@std	kɔrn
word:Kot@lang:deu@std	koːt
word:Kotze@lang:deu@std	kɔt͡sə
word:Krach@lang:deu@std	krax
word:Kraft@lang:deu@std	kraft
word:Kram@lang:deu@std	kraːm
word:Krampf@lang:deu@std	krampf
word:Kranich@lang:deu@std	kraːnɪx
word:Krause@lang:deu@std	krauzə
word:Kraut@lang:deu@std	kraut
word:Krebs@lang:deu@std	kreːps
word:Kreis@lang:deu@std	krais
word:Kresse@lang:deu@std	krɛsə
word:Kresse@lang:deu@std/2	krɛsə
word:Kreuz@lang:deu@std	krɔyt͡s
word:Krieg@lang:deu@std	kriːk
word:Krippe@lang:deu@std	krɪpə
word:Kris[t]@lang:GOH@std	Kris[t]
word:Kristall@lang:deu@std	krɪstal
word:Krone@lang:deu@std	kroːnə
word:Kropf@lang:deu@std	krɔpf
word:Krug@lang:deu@std	kruːk
word:Kruste@lang:deu@std	krʊstə
word:Krämer@lang:deu@std	krɛːmər
word:Kröte@lang:deu@std	krøːtə
word:Krücke@lang:deu@std	krʏkə
word:Kuchen@lang:deu@std	kuːxən
word:Kufe@lang:deu@std/2	kuːfə
word:Kuh@lang:deu@std	kuː
word:Kunde@lang:deu@std	kʊndə
word:Kunst@lang:deu@std	kʊnst
word:Kupfer@lang:deu@std	kʊpfər
word:Kurbel@lang:deu@std	kʊrbəl
word:Käfer@lang:deu@std	kɛːfər
